wavelength,absorption
280,0.7996215375038901
285,0.7354416433239961
290,0.671261749144102
295,0.6070818549642079
300,0.5429019607843137
305,0.4787220666044196
310,0.4522677850759112
315,0.4609669153361946
320,0.4807452691871044
325,0.511429005003223
330,0.5509291716686673
335,0.5898067226890756
340,0.6108838201947446
345,0.595532346271842
350,0.5801808723489396
355,0.5276071762038146
360,0.4650334800586894
365,0.3437863145258099
370,0.2453781512605043
375,0.2211604641856741
380,0.196942777110844
385,0.1727250900360139
390,0.1508951580632248
395,0.1379529811924766
400,0.1250108043217283
405,0.1120686274509801
410,0.1144232628711242
415,0.1181506891378868
420,0.1257074705222837
425,0.1438960812645989
430,0.162084692006914
435,0.1957591036414566
440,0.2378803157626687
445,0.2800015278838808
450,0.3223966157891728
455,0.376157548733779
460,0.4299184816783853
465,0.495535585662836
470,0.5658174126793568
475,0.6347174369747893
480,0.7016434573829528
485,0.7685694777911163
490,0.8490584233693476
495,0.9334518474056288
500,1.0313373349339734
505,1.1231995798319327
510,1.1630210084033614
515,1.1454869947979192
520,1.1166434573829531
525,1.106422368947579
530,1.1266434573829536
535,1.170078831532613
540,1.231139437593219
545,1.284065981948335
550,1.2230984838379797
555,1.088888355342138
560,0.8374597839135638
565,0.4871961784713903
570,0.2479359743897564
575,0.1649730114267925
580,0.1055859434682958
585,0.0609724617119568
590,0.0389563825530209
595,0.0274597839135649
600,0.015963185274109
605,0.004466586634653
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
