wavelength,absorption
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.0037836007548468
555,0.0084088159581311
560,0.0130340311614154
565,0.0176592463646998
570,0.0222844615679841
575,0.02687572055859
580,0.0305213916339532
585,0.0341670627093164
590,0.0378127337846796
595,0.0414584048600428
600,0.0486639085810168
605,0.0590590563848631
610,0.0694542041887094
615,0.0798493519925557
620,0.090244499796402
625,0.1016922163714833
630,0.1152119750126189
635,0.1287317336537545
640,0.1422514922948901
645,0.1637743571508814
650,0.1891160344759317
655,0.214457711800982
660,0.2409263173182664
665,0.2723995214749121
670,0.3038727256315578
675,0.33579698451653
680,0.3684868240887226
685,0.4011766636609151
690,0.4338665032331077
695,0.4537944862183347
700,0.4703325064141732
705,0.4868705266100116
710,0.50340854680585
715,0.5293152574632158
720,0.5610013910361417
725,0.5963717014525667
730,0.6883502861825495
735,0.7576887840461034
740,0.8169873898861089
745,0.8780443640663487
750,0.9305318860387132
755,0.9600845739231746
760,0.989637261807636
765,0.9731535377723088
770,0.950720983364526
775,0.9112969981308708
780,0.8388813479518201
785,0.7546177407063618
790,0.535386920761466
795,0.3720493494852114
800,0.2563240256985143
805,0.152072770677305
810,0.100314884539313
815,0.0521708552316116
820,0.0437167180188943
825,0.0352625808061771
830,0.0268084435934598
835,0.0182154447631382
840,0.0093593215475109
845,0.0005031983318836
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
