wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.026525925238483388
555,0.05949986953318186
560,0.09869253839500844
565,0.142276333408859
570,0.18489005353832347
575,0.2210302992680208
580,0.25717054499771813
585,0.2794535978723477
590,0.29948526613238596
595,0.31997084292650896
600,0.3725309631669905
605,0.4214891462215817
610,0.46267451925823067
615,0.5023915703598044
620,0.5374005585467587
625,0.5724095467337131
630,0.5943891346453244
635,0.6072667358984012
640,0.6201443371514779
645,0.6292283575266482
650,0.6351905285792798
655,0.6411526996319113
660,0.647114870684543
665,0.6530770417371745
670,0.6442593198069184
675,0.6315615308516633
680,0.6188637418964081
685,0.606165952941153
690,0.5934681639858979
695,0.5807703750306428
700,0.5668215735796995
705,0.5499561410414296
710,0.5330907085031598
715,0.5162252759648899
720,0.4992788278283523
725,0.48224403818433936
730,0.4652092485403264
735,0.44817445889631347
740,0.4317398394445496
745,0.416893423062297
750,0.4020470066800444
755,0.38720059029779175
760,0.37235417391553916
765,0.3580437518788756
770,0.34397429506676525
775,0.32990483825465483
780,0.3158353814425444
785,0.30176592463043406
790,0.28769646781832364
795,0.2766432302767136
800,0.2677899374914787
805,0.25893664470624383
810,0.25008335192100895
815,0.24123005913577406
820,0.23237676635053917
825,0.22262376442787582
830,0.2038960064207584
835,0.18516824841364096
840,0.16644049040652353
845,0.13365965901203347
850,0.09823042878854964
855,0.06280119856506579
860,0.027371968341581954
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
